trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
173,False,"{'a': 0.2, 'e': 0.17574730149117582}",20,0,15.380221846328574,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
174,False,"{'a': 0.2, 'e': 0.17398982847626407}",20,13,3.131178132772369,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.2, 'e': 0.17224993019150142}",30,10,21.37960245631402,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.2, 'e': 0.1705274308895864}",25,6,19.693121505288573,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.2, 'e': 0.16882215658069055}",20,0,-34.824803852235256,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
178,False,"{'a': 0.2, 'e': 0.16713393501488363}",20,0,-3.605803149655266,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
179,False,"{'a': 0.2, 'e': 0.16546259566473479}",20,0,11.71811465170735,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
180,False,"{'a': 0.2, 'e': 0.16380796970808745}",20,3,-51.17383300640987,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
181,False,"{'a': 0.2, 'e': 0.16216989001100657}",20,10,18.461248390814745,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.2, 'e': 0.1605481911108965}",20,10,-30.290986601502535,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
